," Day 1: Wednesday, 7th February "
,
8:45am,Welcome and Key Story 1
9:30am,Unix Shell (Software Carpentry) + Intermediate R
12:30pm,LUNCH
1:15pm,Key Story 2
2:00pm,Mini-workshops and informal discussions
4:30pm,Discussion session
5:30pm,Evening social event
,
," Day 2: Thursday, 8th February"
,
8:45am,Key Story 3
9:30am,R (Software Carpentry) + Advanced R
12:30pm,LUNCH
1:15pm,Key Story 4
2:00pm,Mini-workshops and informal discussions
4:30pm,Discussion session
5:30pm,Dinner
,
,"Day 3: Friday, 9th February"
,
8:45am,Key Story 5
9:30am,Version Control with Git (Software Carpentry) + Reproducible Research
12:30pm,LUNCH
1:15pm,Key Story 6
2:00pm,Closing remarks and feedback